,text,topic
8279,"BERLIN — The German government is negotiating with Jewish representatives to ensure that the thousands of poorest and weakest Holocaust survivors worldwide receive the intensive care they need to live out their final years at home.
 The German Finance Ministry and the Conference on Jewish Material Claims Against Germany continue to hold regular talks but the effort to reach an agreement has taken on a new sense of urgency, because the youngest of those needing full-time care are already in their 80s — and many others are over 100 years old.
 With an estimated 100,000 Holocaust victims living in the United States, roughly a fifth of survivors worldwide, their plight has raised concern in Congress, and on Thursday representatives introduced a resolution calling on the German government to do more.
 Representatives Ted Deutch, a Democrat, and Ileana Ros-Lehtinen, a Republican, both from Florida, submitted the resolution to the House asking Germany to “recognize the imperative of immediately and fully funding victims’ medical, mental health, and long-term care needs and to do so with full transparency and accountability to ensure all funds for Holocaust victims.” A companion resolution was introduced in the Senate.
 The German Finance Ministry did not respond to repeated requests for comment.
 The Claims Conference cares for 55,000 survivors in dozens of countries around the world through compensation and reparations programs financed by the German government that began more than 60 years ago.
 But as they age, Holocaust survivors face increasing special-care needs, linked to the persecution they suffered and the isolation resulting from the loss of family members in the Holocaust.
 The current round of talks, which opened in January and is scheduled to end by June, is trying to find a way to meet those needs, said Greg Schneider, the executive vice president of the Claims Conference.
 The German government currently provides compensation for survivors to be cared for in their homes for up to 25 hours per week, based on an assessment of an individual’s need.
 In many cases, however, that is not enough, leaving mentally and physically frail or forgetful survivors without anyone to look after them over the weekend, or throughout the night.
 A central element of the negotiations is to move away from weekly caps on hours and to create a more flexible system.
 German officials have cautioned that for such a plan to be effective, they need to assess what needs are not being met and to structure a program based on a budget that would pay for in-home care of the neediest cases over the next five to seven years.
 Among the most acute cases are those who suffer from a loss of memory compounded by the emotional triggers that affect many victims.
 As their memories fail, they often recall their younger lives, when they may have been forced from their homes, crowded into cattle cars and ripped from their parents, whom in most cases they would never see again.
 “When you are a Holocaust survivor and regress, what you are going back to is darkest point of human history,” Mr. Schneider said.
 He gave the example of a woman in the program with dementia who requires full-time care. Although she still lives with her husband, who also survived the Holocaust, every time he tries to leave their home she starts to scream, “Don’t go! They will take you away, they will get you!”
 “She is living in a world where the Nazis are still there,” Mr. Schneider said.
 In response to a congressional letter written to Finance Minister Wolfgang Schäuble in December, Jens Spahn, a deputy minister who is leading the negotiations on behalf of the German government, said his country recognized that current levels of care were “insufficient for those in need of intensive long-term care.”
 “Some survivors require more extensive care, in some cases full-time care,” Mr. Spahn wrote in the letter.
 Germany has made payments worth more than 73.4 billion euros, about $83 billion, in reparations and compensation, mostly to Jewish victims of the Nazis. The assistance to aging survivors is only a small part of these contributions.
 “Many of my constituents are in their 80s, 90s, even 100, and our focus is ensuring that their needs can be provided for,” Mr. Deutch said.
 “I’ve been trying to help survivors since coming to Congress six years ago,” he said. “While we acknowledge that what is being done by the Germans is incredibly generous, survivors’ needs are not being met.”
",
7840,"KABUL, Afghanistan — Women’s sports programs in Afghanistan, long a favorite of Western donors, have all but collapsed.
 Some consist of little more than a young woman with a business card and a desk, as one insider described the women’s version of cricket, Afghanistan’s most popular game. Others, like women’s soccer, have managed to field a few teams for practices and training sessions but have not played an international match in years.
 Even the relatively few encouraging stories, like women’s taekwondo, one of the sports that may see an Afghan woman sent to the 2016 Olympics in Rio de Janeiro, are at best qualified successes. Afghanistan’s strongest hope for a female taekwondo medalist, Somaya Ghulami, 23, actually lives in Iran and commutes to practice sessions here. She said she would never be able to compete if she had to live in her own country.
 It is a conspicuous failure for Western efforts to improve the lives of Afghan women. With few exceptions, the sports programs have become riddled with corruption and been undermined by conservative Afghans who have never liked the idea of young women on sports fields.
 One of the main supporters of women’s sports in Afghanistan is the American government, which spends $1.5 million a year on coeducational sports programs — not counting a $450,000 cricket grant that officials took back when they realized no women’s cricket was being played. American officials, however, declined to discuss women’s sports on the record.
 While all women’s sports here are suffering, none have failed quite as spectacularly as the women’s national cycling team. Celebrated in documentaries, and the subject of a 2014 book and a blizzard of news articles, the team was recently nominated for this year’s Nobel Peace Prize — thanks to the tireless promotion of its benefactor, Shannon Galpin, who financed the team through her Colorado-based charity, Mountain to Mountain.
 However, Ms. Galpin announced on her web page last month that she would no longer support the Afghan Cycling Federation because of what she described as “out of control” corruption by the team’s longtime coach and the head of the federation, Haji Abdul Sediq Seddiqi.
 Ms. Galpin was upset that sponsors’ gifts, including more than 40 bicycles and other racing gear, valued at more than $100,000, were stolen after being handed over by her organization to the team and Mr. Seddiqi.
 Mr. Seddiqi was recently dismissed from his post as both coach and head of the federation by the president of the Afghanistan National Olympic Committee, Mohammad Zaher Aghbar, who cited something besides corruption. He claimed that Mr. Seddiqi had successively married and divorced three of the young women on his team. “He has married three of them — three times — and the girls were all complaining about him,” Mr. Aghbar said.
 In an interview, Mr. Seddiqi denied the corruption charges, claimed Ms. Galpin’s organization was still financing the cycling federation and called the accusations against him “a lot of made-up crap.” Mr. Seddiqi, 62, acknowledged that he had three prior divorces and was now married to a 25-year-old woman, but denied that his current or past wives were ever team members.
 One national cycling champion (Mr. Seddiqi also controlled the men’s team), Hashmat Barakzai, who recently fled to Germany to claim asylum, said that “Seddiqi used the women’s team as his personal piggy bank and love playground.”
 Mr. Seddiqi’s critics said training was almost nonexistent. “He would take them out to a roundabout on the highway and ride around in circles,” Ms. Galpin said.
 “Under coach,” Ms. Galpin said, referring to Mr. Seddiqi, “it’s zero female empowerment.”
 Corruption in other women’s sports might not be quite as brazen, but it remains a huge problem. Diana Barakzai, who played for Afghanistan’s women’s cricket team when it was actually functioning, in 2009, said she was approached recently by the Afghanistan Cricket Board about heading up a women’s team.
 “They told me they already made a deal with someone to pay them $180,000 for the job, but if you’re willing to pay $200,000 you can have it,” she said, adding that she turned the offer down.
 Ms. Barakzai, who is not related to Mr. Barakzai, said she was surprised by the demand, since she assumed there was no money to be made in women’s cricket. Besides, the national team had not competed — or even practiced — in at least three years.
 But it turned out that the United States Embassy had awarded a grant of $450,000 last summer to promote women’s cricket and had sent it to Lapis Communications, a private organization, to administer. Those funds have now been returned to the American Embassy, said a Lapis official, Sarah-Jean Cunningham. “This program did not get the traction it needed to justify pushing forward,” she said.
 Shafiq Stanikzai, the chief executive officer of the Afghanistan Cricket Board, denied Ms. Barakzai’s accusations. “That’s totally a false claim that she made and a very stupid one,” he said.
 Mr. Stanikzai said that there was a national women’s cricket program but that it was operating in secret. “We are not publicizing that due to certain limitations,” he said. “The national team is functioning but at a very basic level, as they are not good enough to compete at an international level.”
 But Peter Anderson, an Australian cricket coach who was brought to Afghanistan several years ago to train its women’s cricket team, said the cricket board was so against women participating that it had dismantled what women’s team there was. He said he quit after being shunted to coaching the disabled team.
 Tuba Sangar is the current head of women’s cricket — the person Mr. Anderson described as “a girl in an office with a business card.” When contacted, she said she was not allowed to comment.
 Robina Jalali was on the first women’s team to compete in 2004 in the Olympics for Afghanistan after the Taliban were toppled. A runner, she was one of two at the 2004 Games. Now the head of women’s sports at the National Olympic Committee, she says that even the foreign embassies are no longer paying much attention.
 “The main problem is the growing insecurity we have; secondly, violence against women, which is growing. Women are not feeling safe to train,” she said. “Now we see the youth are just running away from the country, which has changed the mentality of the embassies,” she continued. “They feel they can’t give a girl a visa to compete because she’s not going to come back.”
 But the women’s soccer team, often held up as an example of success, has not played internationally since 2014. There are plans to do so sometime this year, yet neither the date nor the country where it will take place has been set, said Khatool Shahzad, an official with the soccer federation.
 Shamila Kohestani is a women’s soccer success story, going from captain of the women’s team in 2007 to a scholarship at Drew University in New Jersey. Her dream had been to return here as a coach, but after a recent visit to Kabul she decided not to.
 Ms. Kohestani thinks that Afghan officials never really supported the idea of women in sports, saying they only feigned interest because women’s sports were such grant magnets. “They would say, ‘I would never let my daughter do that,’” she said. “They treated us like sluts or something because we’re running around showing ourselves to men.”
 The women’s soccer team still exists, mainly because the players are encouraged to participate by what for Afghanistan are generous cash payments: $100 a month for national team members and $50 for junior team members.
 Despite that incentive, only 10 national team members out of 22 (the women play 11-a-side soccer) came out for a recent two-hour practice; their coach, a man, did not show up at all.
 The team captain, Forozan Tajali, 22, took over the training session. She said security concerns, family pressure and public harassment were not the only difficulties the soccer players faced. The national team has lost more members to marriage than anything else, she said, because Afghan women are considered too old to wed after their early 20s, and their husbands typically refuse to allow them to play.
 Taekwondo has been similarly hurt, Ms. Ghulami said during a recent training session here, adding, “Fortunately, I have a liberal family that does support me — and we live in Iran.”
",
6097,"With Donald Trump’s unfavorable ratings at record levels, the Republican Party’s prospects for taking back the White House already seem bleak. But its chances may be even worse yet. The doubts Mr. Trump has raised during his primary campaign also undermine the strongest rationale for any Republican candidate in this election: the need for new leadership after eight years of Democratic control of the White House.
 The Emory University political scientist Alan Abramowitz highlights this factor in his “time for a change” forecasting model of presidential election outcomes. “When a party has held the White House for two or more terms,” he writes, “voters will be more likely to feel that it is time to give the opposing party an opportunity to govern than when a party has held the White House for only one term.”
 Mr. Abramowitz finds that the party in power performs approximately five percentage points worse in the popular vote after two or more terms in office in a model that controls for the current president’s approval rating and the state of the economy. The sample size of post-World War II elections is very small, but Mr. Abramowitz’s model dominates the field in its forecasting accuracy.
 Both Mr. Abramowitz’s model and a similar one from the political scientists John Sides, Michael Tesler and Lynn Vavreck (an Upshot contributor) would characterize Republicans as the favorite in this election with an estimated probability of winning of approximately 60 percent. As Mr. Sides notes, the G.O.P. edge is due in large part “to the White House’s greater tendency to change hands the longer the incumbent party has been there.”
 But these forecasts are made based on simple models that do not include any information about the nominees (and implicitly assume, as Mr. Abramowitz notes, that the parties select mainstream candidates). In contrast, betting and prediction markets that take the likely party nominees into account put Mr. Trump’s chances of winning in November at approximately 25 percent.
 Why, then, is Mr. Trump looking so likely to underperform in November? Even his unfavorability ratings may not fully explain his diminished chances. Candidates who are initially not seen as personally likable can overcome those perceptions, as Bill Clinton did in 1992, another “time for a change” election (though Mr. Trump’s ratings are worse, and he has been known for longer at the national level).
 For instance, consider a counterfactual situation in which Ted Cruz, Mr. Trump’s chief rival, became the nominee. Mr. Cruz also had high unfavorable numbers before dropping out of the race, but if he had won the G.O.P. nomination under normal circumstances, most Republicans would have probably rallied around him (as they did around Mitt Romney in 2012), and the electorate would have eventually come to see him somewhat less negatively.
 In Mr. Trump’s case, his reputation for irresponsibility and lack of political experience overshadow the “time for a change” message. He frequently calls for new leadership — a message that would normally be the strongest G.O.P. appeal in an election year when the economy is not weak enough to be the focus of the opposition’s campaign. But instead of being a referendum on the incumbent party’s failures, this election seems likely to turn on how voters view Mr. Trump himself. Many voters who might have been open to an alternative after eight years of President Obama will instead ponder whether it is too risky to vote for Mr. Trump, especially after Mrs. Clinton makes his qualifications the central message of her campaign.
 Mr. Trump could still win, but he will have to find some way to turn the focus back to Mrs. Clinton and the Democrats and to convince voters that the change in leadership he represents is desirable.
",
3173,"CULVER CITY, Calif. — A day after offering a forceful denunciation of Donald J. Trump, Hillary Clinton on Friday expressed hope that she was only days away from putting the long-running Democratic nominating fight behind her.
 “If all goes well, I will have the great honor as of Tuesday to be the Democratic nominee for president,” she said at a rally featuring a lengthy lineup of well-known actresses, including Sally Field, Debra Messing, Elizabeth Banks, Sophia Bush and Mary Steenburgen.
 Mrs. Clinton is expected to secure enough delegates on Tuesday to become the party’s presumptive nominee, probably before the polls close in California, one of the six states with nominating contests that day.
 The moment cannot come soon enough for Mrs. Clinton, who has already turned her attention to Mr. Trump, the presumptive Republican nominee, attacking him on a variety of subjects at campaign events, while almost never mentioning her remaining Democratic rival, Senator Bernie Sanders of Vermont.
 But Mr. Sanders has proved to be a formidable opponent in California, and the primary here Tuesday is expected to be close, even if its importance is symbolic, given Mrs. Clinton’s wide lead in delegates.
 In her final campaign swing in California before the primary, Mrs. Clinton turned on Friday to some celebrities to give her a boost.
 In a gym at West Los Angeles College, the D.J. Samantha Ronson handled the music, and a procession of actresses spoke in support of Mrs. Clinton and skewered Mr. Trump.
 “He ran a university, it no longer exists,” Ms. Banks said. “He had a TV show, it no longer exists. He had hair. …” She let those words linger, and the crowd laughed.
 Ms. Messing warned that if Mr. Trump became president, “We will be a country led by a reckless bigot and misogynist.” Ms. Bush said Mr. Trump wanted “to make our country a fearful reality show contest.”
 And Ms. Field questioned why Mrs. Clinton had been criticized as unlikable, asking, “What is this, a high school popularity contest?” She said that Mrs. Clinton was “not running to be everybody’s friend.”
 “Women have spent the last hundred years trying to get out from under the expectation that they had to be sugar and spice and everything nice,” Ms. Field said. “We don’t need sugar and spice and everything nice.”
 Mrs. Clinton did not use up all her available star power at Friday’s event. The actress Jamie Lee Curtis joined her at a rally in California last week, and the singer Jon Bon Jovi spoke at a rally on Wednesday in New Jersey, which also votes next week.
 And in Los Angeles on Monday, she will hold a fund-raising concert featuring Christina Aguilera, Andra Day, John Legend, Ricky Martin and Stevie Wonder.
 At the rally on Friday, Mrs. Clinton brought up her speech the day before, in which she declared that Mr. Trump was unfit to be commander in chief and said that electing him would be a “historic mistake.”
 Mr. Trump later wrote on Twitter that Mrs. Clinton “made up things” in her speech. But Mrs. Clinton told the crowd on Friday that she simply repeated “what Donald Trump has said.”
 “I didn’t make any of that up,” she said. “I mean, it would be hard to make up. And by the end of working on that speech, even I was saying, ‘Did he really say all of this?’ Well, indeed he did.”
",
3497,"Recently, I lost a day at work when my Upshot colleague Austin Frakt emailed me first thing in the morning to tell me that headlines were appearing declaring that an “explosive new cellphone-cancer” study was making the rounds. As I have long been interested in this topic, I started to read the headlines and news.
 “Cellphone-Cancer Link Seen in Rat Study,” said Time. “Cellphone Radiation Linked to Cancer in Major Rat Study,” said IEEE Spectrum, a magazine for engineers. I was dismayed to say the least. “Game-changing,” as a quotation in a Mother Jones headline put it, seemed like a bit of an overreach.
 So I went ahead and read the paper. Despite what some outlets reported, this was a not-yet-published study of rats that had been shopped for “review,” but had not been accepted by any editors. It detailed a study that examined if exposing rats to radiation like that emitted by cellphones might give them cancer.
 The researchers first exposed pregnant rats to whole body CDMA- or GSM-modulated radio frequency radiation for nine hours a day, every day of the week. Once these rats gave birth, the researchers took pups of each sex and set them up in groups exposed to both types of radiation at three different levels. At the end of the study, they found that male rats had a statistically significant (p<0.05) higher rate of glioma, a brain tumor, and cardiac schwannomas, a nerve tumor in the heart, in the CDMA-exposed groups.
 There were no differences in brain tumors in the GSM-exposed rats. There were no differences seen in female rats. There were no differences seen in schwannomas in other locations than the heart in any rats.
 This, evidently, was enough for many news media outlets to proclaim that “the debate had been reignited” and that “your cellphone could kill you.” That’s not what the study said at all.
 Let’s begin with the fact that this is a rat study and that we shouldn’t jump to the conclusion that what happens with rats and cancer is what happens in humans. That’s burned us before.
 It’s also odd that increased cancer was seen only in male rats and not in female rats. Do we believe that females are protected from cellphone radiation?
 Oddly, the male rats in the control group lived much shorter lives than expected. Do we believe that cellphone radiation exposure makes rats live longer? The rate of cancer in the exposed rats was actually in line with what you’d expect in rats in general. It’s the controls that had oddly low rates of cancer. Do we believe that the control rats were somehow cured of cancer?
 The answer to all of these questions is, of course, no. But headlines blaring those results would be just as valid as those we saw last week.
 The shortened life span in the control rats is a real problem, too. If it turns out that these cancers develop later in life, then their dying early could be responsible for all the significant results of the study.
 Given the small number of rats in the study, the many comparisons done, and the low rates of cancer overall, we have to be concerned with the validity of the results. When you’re designing research, you need to make sure that you have enough of a sample so that you don’t get a negative result when there really is a difference (a false negative), or a positive result when there really is no difference (a false positive). This study is likely to have a high false discovery rate, or an increased risk of being a false positive.
 You can’t cherry-pick in science, as I’ve discussed before. If you want to own the positive result seen in males, you have to own the protection being female seems to confer. You have to own that the control rats were somehow magically without cancer. You have to own that cellphone exposure increases life span. Or you can admit that none of these results are especially convincing.
 But too often, the news media latch onto one finding while ignoring others. Too often, this finding is the one that’s most frightening, or scariest. It’s certainly the one that seems most likely to get attention.
 No study can be judged in isolation. In this case, taking the results from one arguably imperfect rat study while ignoring others makes no sense. When it comes to cellphones and cancer, a great deal of research already exists.
 Most of that work is what we call case-control studies. To do a study like that, you’d find a group of people with brain tumors (cases) and a group of similar people without brain tumors (controls). Then, you’d get data on them (like “do you use a cellphone?”) to see if differences exist between them.
 Studies like this, though, are susceptible to what we call recall bias. This is where people who have had something bad happen to them are more likely to think hard and remember things, like using a cellphone, than people who have not. Better-designed studies, including cohort studies, have not shown a link between cellphones and cancer.
 Many organizations, such as the American Cancer Society, the National Institute of Environmental Health Sciences, the Food and Drug Administration, the Centers for Disease Control and Prevention, the Federal Communications Commission and the European Commission Scientific Committee on Emerging and Newly Identified Health Risks have reviewed the collected research — there is a lot — and found insufficient evidence for a link.
 No new study can be viewed in a vacuum. It must be added to what is already known. Given such a large body of studies, you can’t take one small rat study and say that it’s a “game changer.” It’s nearly impossible for any such study to overcome all that has come before.
 This is especially true because of publication bias. It’s probably much more likely that you’ll get a new study published if you find a link between cellphones and cancer than if you don’t.
 There’s a media bias, too. When published studies have negative results, you often don’t hear about them. When results are positive, especially if they are frightening, they’re talked about as if they’re definitive.
 One more point. All research should be hypothesis-driven, and make sense in the real world. Cellphones are unbelievably common. More than 90 percent of people in the United States use one regularly. If they caused brain cancer in even a small percentage of users, we’d see an increase in its incidence. Since the late 1980s, however, the incidence of brain cancer in the United States has been decreasing.
 Faced with such real-world evidence, anyone should be skeptical about arguments that one causes the other.
 When a new study is published, it must be thoroughly vetted to see how robust its results are. It must be evaluated in light of all other research that exists. It must be considered alongside real-world data to ensure that it makes sense. That’s how we need to think — and report — about new research.
",
4868,"For the first time in weeks, the most significant news story dominating the cable networks on Thursday was unrelated to the presidential campaign: the disappearance of EgyptAir Flight 804.
 But Hillary Clinton broke through the cable din for an interview on CNN, a day after Donald J. Trump, the presumptive Republican presidential nominee, used the word “rape” to conjure old accusations made against her husband.
 Mrs. Clinton made clear she was not going to join that battle. Instead, she said, voters want to know what the candidates will do for their futures, a bit of a riff on one of her husband’s lines from his 1992 presidential campaign, when his infidelities were raised, about his rivals wanting to focus on the past.
 Mrs. Clinton also made her most vocal case against Mr. Trump, saying he is unqualified for the Oval Office, and declared her Democratic primary race against Senator Bernie Sanders of Vermont all but settled.
 The former secretary of state is not prone to the staccato-style series of phone and sit-down interviews that Mr. Trump favors, and she has a long way to go to frame a message against him between now and November. Whether the interview signals a new approach remains to be seen.
 As for Mr. Trump, he stayed off the campaign trail on Thursday, although he promoted Paul J. Manafort to chief strategist, the highest position one can hold on a campaign. On Friday, Mr. Trump will be in Kentucky, appearing at a National Rifle Association conference.
",
6890,"BALTIMORE — Manager Joe Girardi was midway through another dispiriting postmortem, speaking to reporters outside the visitors’ clubhouse, when the dark blue backdrop with the logos of the Yankees and their sponsor began to fall away from the curtain rod from which it hung.
 It was a fitting epitaph for another frustrating night in a young season that has been filled with them, as the Yankees were beaten by the Baltimore Orioles, 4-1, on Tuesday night.
 It was the Yankees’ sixth straight defeat, and perhaps not the only loss they suffered. In the fifth inning, Alex Rodriguez left clutching his hamstring after running out a ground ball. He will undergo a magnetic resonance imaging exam Wednesday morning to determine the extent of the injury.
 “I don’t know how bad it is,” Girardi said. “It’s definitely worrisome. He just started swinging the bat, too.”
 That tone of weariness is becoming a familiar one for the Yankees, who once again struggled to do anything more at the plate than hit singles — or string many of them together. It was the 13th time in 24 games that they have not managed more than two runs.
 Luis Severino turned in his best start of the season, but his few mistakes were too much to overcome. He allowed two home runs to Mark Trumbo and dropped two soft tosses from Mark Teixeira while covering first base, the second of which allowed another run to score.
 As he walked back to the mound after the second drop, Severino was patted on the back by Teixeira, a gesture of support and encouragement that the Yankees are finding themselves increasingly needing as they sit in last place in the American League East at 8-16. The last time they were this many games below .500 was in 2007, when they started the season 21-29.
 Before the game, General Manager Brian Cashman tried to direct some of the heat away from his players, coaches and Girardi by accepting blame for the poor start and reiterating that no changes were afoot — for the moment.
 “The reality is, the talent level that we currently have in that clubhouse is good enough to be a force,” Cashman said. “So we shouldn’t have to be thinking this way. I shouldn’t be sitting in front of you right now having to talk about such an awful April. We left spring training feeling really good about ourselves.”
 Tuesday’s defeat prompted left fielder Brett Gardner to refer to Wednesday’s game as a must win. “We’ve been struggling here for a few weeks,” Gardner said. “I think everybody knows — I guess it’s never a must win in May, but it feels like it. It’s important to us to get things going in the right direction. For whatever reason, it hasn’t happened.”
 The Yankees’ sense of urgency is an unwelcome sign for Girardi, who was asked afterward if there might be any anxiety over games in May that suddenly have the importance usually reserved for contests in August or September.
 “Anxiety?” Girardi said. “You cannot be anxious for anything. It does you no good. I think the players are frustrated. I think they come prepared every day and they expect good things to happen, and right now they’re not happening. But that will turn around.”
 The Yankees trotted out their usual lineup and looked little different from the way they have all season. The seven runs they posted Sunday night in an 8-7 loss at Boston looked like an aberration as the night wore on.
 Their only run came in the second when Didi Gregorius grounded a two-out single up the middle, scoring Brian McCann. A potentially robust inning had been undercut one batter earlier, when Starlin Castro grounded into a double play.
 The Yankees put runners on in each of the first six innings, but every half-threat petered out. The only extra-base hit was Gardner’s double off the right-field wall in the first. And a promising start to the sixth, in which Teixeira walked and McCann blooped a single to left, soon fizzled. Carlos Beltran lined out to right, and Castro lined into a double play when McCann was caught off first.
 The Yankees struck out nine times against Chris Tillman, who matched his career high. He had entered the game with a 4.96 E.R.A. against the Yankees.
 Rodriguez, who had shown signs of coming alive with two home runs over the weekend in Boston and five R.B.I. on Sunday night, flied out, struck out and grounded out in his three at-bats. It was not clear how long he would be out. He missed two games last week when he tweaked an oblique muscle.
 “It wasn’t a big pop,” Rodriguez said. “I’ve done that before in my career. I’m hoping for the best. Hopefully, it’s just a small setback.”
 But it could be another one that the Yankees find difficult to absorb.
",
6069,"MCC Theater is best known for its work on contemporary plays, but next year, for only the third time in its history, it will present a musical, and it’s an unusual one: “Ride the Cyclone,” about a group of teenagers making the case for their lives from the Great Beyond after a tragic roller coaster accident.
 The musical, which has been much praised in previous stagings, is a highlight of the next season for MCC.
 The theater is also presenting the American premier of a new dark comedy written by, and starring, Matthew Perry, the actor best known from the television show “Friends.” The play, “The End of Longing,” ran in London, where it was a commercial success but a critical dud; Mr. Perry is reworking the script for the New York run.
 MCC has had a long relationship with the playwright Neil LaBute, and its season will begin in September with a new play by him, “All the Ways to Say I Love You.” The play is a one-woman show, starring Judith Light and directed by Leigh Silverman.
 “Ride the Cyclone,” written by Jacob Richmond and Brooke Maxwell, will be directed by Rachel Rockwell, and is to run in November and December. It was previously staged at Chicago Shakespeare Theater, and is being supported by a commercial producer, Kevin McCollum.
 MCC will present “Yen,” a play about two teenage brothers that was written by Anna Jordan, with Trip Cullman directing. The play, which was previous presented at the Royal Court Theater in London, will be staged in New York next February.
 “The End of Longing,” in which Mr. Perry plays an alcoholic with a motley collection of friends, features Lindsay Posner as its director and is to open next May.
",
6689,"BEIJING — Now that China had completed a 10,000-foot runway fit for fighter jets and dredged a huge harbor at Fiery Cross Reef, an artificial island at the center of a territorial dispute in the South China Sea, the time had come to reward the workers who built them.
 One of China’s biggest navy ships, a type of amphibious assault vessel, arrived at Fiery Cross Reef this week loaded with a performance group from the People’s Liberation Army. They danced and sang for two and a half hours before a cheering crowd of military personnel and construction workers.
 A video of the performance by CCTV, the Chinese state broadcaster, showed the gray hull of the Kunlunshan, a 20,000-ton warship and the second-largest vessel in the Chinese fleet, as the backdrop for the temporary stage rigged up portside.
 One of the most applauded songs of the evening was “This Is the Kind of Man We Want to Marry,” a patriotic ballad about a navy man who postpones his wedding because of his duties far from home. Eventually, the man’s fiancée comes to the island, and they marry on the construction site.
 The audience, dressed in blue military fatigues and hard hats, cheered when the singer onstage delivered the “I do” line.
 An enthusiastic construction worker told a CCTV interviewer, “This is exactly our lives: wife and children waiting for us to come home.” He wore a helmet bearing the name of the China Communications Construction Company, a state-owned enterprise specializing in port, airstrip and bridge building.
 “Song and dance is always a way to show gratitude,” said Gary Li, an analyst at APCO Worldwide, a consulting firm on geopolitical affairs. The vessel the performers arrived on was similar to ships used by the United States Marines to carry vehicles, helicopters and troops, he said.
 “The performance was a sign that Fiery Cross Reef is considered a long-term garrison,” Mr. Li said.
 Live theater is not the only distraction for workers and troops on Fiery Cross Reef. Last month, satellite images showed a newly built soccer field and basketball and tennis courts.
 “The football field and tennis courts are all to enrich the spare time of the soldiers who are all young men working there under tough conditions,” said Xu Guangyu, a retired major general. “Now they can even watch television and use mobile phones. Before, we didn’t even have stable radio signals.”
 Fiery Cross Reef, now a 700-acre island where once just a couple of low-lying rocks were lapped by the tides, is the subject of an arbitration case filed by the Philippines at a United Nations tribunal in The Hague.
 A ruling is expected in the coming weeks, and there is wide expectation that the panel will decide that China’s construction in the last 18 months on Fiery Cross Reef and other islands in the Spratly archipelago contravenes international law.
 Before the ruling, China is making various military and diplomatic moves to show that it is standing firm on its claims to seven disputed islands in the Spratlys, about 500 miles from China and less than 150 miles from the Philippines.
 A large-scale Chinese naval exercise will soon be underway in the South China Sea, The People’s Liberation Daily announced on Wednesday.
 This week, three warships from the South Sea Fleet left Hainan Island, the southernmost province of China, for the exercise, and three more will soon join them, the newspaper said. The exercise is intended to “strengthen the combat spirit and foster the concept of war preparation,” it said.
",
1019,"The massacre in Orlando, Fla., has inspired tearful vigils and neighborly charity. But an act of giving announced on Monday by one Florida lawmaker has spurred denunciations.
 Greg Evers, a Republican state senator who is running for United States Congress, said he would hold a drawing whose prize would be an AR-15, a gun similar to the one used by Omar Mateen to kill 49 people at a gay nightclub in Orlando on June 12.
 Mr. Evers said that he was considering the giveaway since before the mass shooting, intending to burnish his pro-gun credentials in Florida’s conservative western Panhandle, where he is running to fill the seat being vacated by Representative Jeff Miller.
 “With the terrorist attacks that we have seen on our country, we are under a constant threat, and it’s not going away,” Mr. Evers said on Tuesday. “And we can no longer, I feel, count on our own government to protect us.”
 But the timing of the announcement, even as funerals for the shooting victims continued, led many commenters on Mr. Evers’s campaign site and his Twitter account to express disgust.
 Mr. Evers, who has served in the State Legislature since 2001, has had an A+ rating from the National Rifle Association for 14 years, according to his campaign website. He said he himself owns an AR-15.
 Asked whether the giveaway risked offending even strong Second Amendment supporters, Mr. Evers said that when he heard about the Orlando shooting, he said a prayer for the victims, and donated money.
 “But you know, there’s not a bad time to protect yourself,” he added. “And even though my heart goes out to the victims and their family and friends in Orlando, I don’t believe in offering just political platitudes. I believe in taking action.”
 AR-15-style rifles have become a focal point of the national debate over gun control. Known for their ease of operation, they have been used to mow down dozens of people by mass shooters in Newtown, Conn.; Aurora, Colo.; San Bernardino, Calif.; and Roseburg, Ore.
 Despite being banned under federal law from 1994 to 2004, along with other so-called assault weapons, it is the best-selling style of long gun in the United States. The National Rifle Association calls it “America’s rifle.”
 Brian Burgess, a spokesman for Mr. Evers, said Tuesday that the AR-15 giveaway was devised in part as a response to what he described as President Obama’s refusal to talk openly about radical Islam.
 “When President Obama went down to Orlando, he made that event about a firearm,” Mr. Burgess said. “It’s clear to folks in our district, and it’s clear to Greg, that we can’t depend on the federal government to identify the cause and root it out.”
 Speaking two days after the mass shooting, Mr. Obama rejected criticism from Donald J. Trump and other Republicans over his refusal to use the label “radical Islam” when talking about the Islamic State group, to which the Orlando attacker had claimed allegiance.
 “There’s no magic to the phrase ‘radical Islam.’ It’s a political talking point. It’s not a strategy,” Mr. Obama said.
 Despite calls for stricter gun control after the massacre, the Senate on Monday failed to advance four separate measures aimed at curbing firearm sales. On the same day, the Supreme Court refused to hear a challenge to Connecticut’s ban on semiautomatic rifles, introduced after the Newtown massacre.
 Mr. Evers’s campaign said the winner of the rifle giveaway will be selected on July Fourth, and will be chosen from among people who “liked” or shared his Facebook page.
",
